freelancer_id,name,job_title,location,skills,hourly_rate,total_jobs,hours_worked,success_rate,top_rated,years_of_experience,portfolio_url
a45381d8-4173-4c91-a8b5-9178f4fb3110,Mr. David Gray Jr.,Web Developer,Port Stacyhaven,"CSS, JavaScript",47.41,5,8231,77,False,6,http://www.munoz.com/
4f9ac7a9-b80e-4f1d-bcb2-6f17698a06fd,Frederick Mason Jr.,Web Developer,Stoneberg,"HTML, Node.js, React, JavaScript",48.97,52,1764,81,True,4,https://hoffman-robinson.com/
97c1d832-6fd1-4171-b852-b6c9885efbda,Matthew Mendoza,SEO Specialist,Millerville,"Link Building, Keyword Research",113.48,65,2045,64,False,18,http://brown.org/
dc414c31-6148-4500-834d-77a445ce4f86,Anna Smith,UI/UX Designer,East Donnaside,"User Research, Wireframing, Prototyping",76.14,40,6531,80,True,16,http://www.pitts.biz/
d90d6f56-72d2-463c-8045-546b1a32eff1,James Holt,Data Analyst,West Valerieton,"Excel, Python, SQL, Tableau",113.65,94,1667,62,False,11,https://www.gibson.com/
5a506b4d-e90d-45e6-8ec5-a7a375f6ca2e,David Mcdaniel,Graphic Designer,West Matthew,"Photoshop, InDesign, Illustrator",28.34,81,8421,87,True,11,http://www.cooper.com/
686c6653-1c77-4059-9a87-4fd51fbad2ca,Cody Campbell,Graphic Designer,Amberbury,"Illustrator, Figma, InDesign",78.71,26,5978,60,True,3,http://dillon-jones.com/
83da55ec-1ef6-4833-b20e-25dffdd3e42d,Robert Sanders,Mobile App Developer,Port Shannon,"Java, Flutter",86.25,72,2637,80,True,18,https://smith-rhodes.com/
6d4d745b-8f69-4fb8-84e0-95e604e7955d,Ryan Vargas,SEO Specialist,Millerfurt,"On-page SEO, Link Building, Keyword Research",75.18,40,6207,50,True,16,http://sandoval.org/
c0adbc04-690a-4254-8b04-51afd2eb6aa9,Julie Hinton,Digital Marketer,Stevensonburgh,"Email Marketing, Google Ads, Facebook Ads, Analytics",26.67,57,5064,100,True,4,https://miller-cardenas.com/
2bc685a6-bf1d-4b2c-b022-4f5c01e48112,Brandon Gross,Data Analyst,Port Amyshire,"Tableau, Python",23.34,79,9301,90,False,17,https://www.booth.com/
214ffa1c-0329-4dd0-a8e3-b5b87edf3ef0,Ruben Jones,Graphic Designer,Powersside,"Photoshop, Illustrator",114.58,3,8112,99,False,10,http://www.bennett.com/
a0d6b51e-6c19-4ff0-a0c7-c04b4246f8c1,Kimberly Spencer,Graphic Designer,East Elizabeth,"InDesign, Figma, Illustrator, Photoshop",142.79,12,930,57,False,6,http://www.casey-love.net/
edf5f8df-790e-4569-8f6f-594f938ada8f,Nicole Crawford,Graphic Designer,East Thomasbury,"InDesign, Illustrator",129.43,29,4847,51,True,18,https://www.martinez-leach.com/
21b99eaa-85b6-4298-baf7-be78ae99c13b,Yolanda Sanders DVM,Content Writer,Abigailburgh,"Editing, Copywriting, Blog Writing, SEO",122.92,49,538,69,True,14,https://www.diaz.com/
cd1b9849-7f43-4b18-8d4c-470de1e14508,Andrea Gallegos,Data Analyst,East Stephanieport,"Python, Tableau, SQL",83.84,37,2683,68,False,16,https://marshall.com/
a7b76571-6f3d-478b-8712-28947c52c25d,Tanya Murillo,Content Writer,Bowmanfort,"SEO, Copywriting, Editing, Blog Writing",122.7,65,846,69,False,2,http://bautista-mcbride.com/
818fe9af-2b1c-4063-a5b5-76f0a3213535,Christopher Williams,Web Developer,Lauraport,"CSS, React",137.85,48,6343,91,True,7,http://mooney.com/
7916634d-1d74-43d5-86a2-ce162cbd786f,Jeffrey Coleman,Digital Marketer,West Carol,"Google Ads, Analytics, Facebook Ads",61.72,12,1663,99,True,2,https://woods.com/
ae8a7869-3dd7-4a6a-ad17-ba5602477605,Cassandra Rose,SEO Specialist,Goldentown,"Keyword Research, Link Building, On-page SEO",83.19,74,6576,77,True,12,https://washington.org/
c94d23e8-b0c6-4c98-b242-1593377842ad,Deanna Jones,Web Developer,Port Darylview,"JavaScript, Node.js, React, CSS",83.36,69,9914,95,True,18,https://www.morris-garcia.com/
b0d06453-8221-4bb7-8861-1d645c3efdd8,Heather Perez,Mobile App Developer,West Joshuaton,"Flutter, Kotlin, Swift",113.53,41,4020,68,False,20,http://marshall.biz/
9e6c42ee-675e-4b4c-a37b-d4ea25e33204,Micheal House,Mobile App Developer,Matthewstad,"Flutter, Java, Swift",87.29,33,601,55,False,11,https://fletcher.com/
09b83c57-5f69-4513-b1a5-1655be62343d,Christopher Knapp,UI/UX Designer,Shannonstad,"User Research, Wireframing, Prototyping",102.36,93,4379,58,False,8,http://www.snyder.net/
4741b15b-f654-44b5-b17f-b0ba49d59a0e,Alec Mason,UI/UX Designer,Jonesmouth,"User Research, Prototyping",53.79,6,8934,98,False,10,http://www.garcia-williams.info/
4ee182cc-2b9b-451c-88b0-9a314472fb23,Caitlin Butler,UI/UX Designer,East Larry,"Prototyping, User Research",111.45,78,652,83,True,9,http://mcguire.com/
0450c729-100d-4658-8245-854ccc7e5d10,Adrian Duncan,Digital Marketer,Juarezview,"Google Ads, Analytics",148.04,79,7135,59,False,11,http://www.guzman.com/
675c26ae-8275-465b-85bd-78b95a214168,Shane Williams,UI/UX Designer,Davidbury,"User Research, Wireframing, Prototyping",62.02,15,196,80,True,17,https://brown.org/
9dce502f-7e83-473a-82b6-47950e22bc50,Joseph Castro,Data Analyst,South Ryan,"Excel, Python, Tableau",56.43,54,105,80,False,20,http://chase-clark.com/
2cf79d1f-c05f-4752-bcc1-53d20da6a334,Michael Hernandez,SEO Specialist,Lake Mark,"Link Building, Keyword Research",131.24,20,2900,66,False,4,https://www.underwood-porter.org/
29ac14cd-4952-468b-ba84-ef712e76b968,Renee Torres,Mobile App Developer,Michaelview,"Java, Swift, Kotlin, Flutter",19.46,1,7450,98,True,1,https://www.king.com/
b6a3d5ef-139a-4046-8b4a-4882aae807ce,Joshua Hoffman,UI/UX Designer,Derekberg,"Wireframing, Prototyping, User Research",66.09,86,5411,76,True,2,http://www.williams.com/
de08651b-fb54-446f-a76a-5e8ea497e742,Amy Ramos,Graphic Designer,Jordanland,"Figma, Photoshop",113.86,91,5087,91,True,6,http://www.santiago.com/
986419a1-7344-4b56-9104-b523a84a6914,Sean Heath,UI/UX Designer,Joshuafort,"Prototyping, Wireframing",94.07,58,750,51,False,7,https://www.west-clarke.info/
827a235b-0321-421f-9913-e257bd0c9df8,Carl Rush,UI/UX Designer,Port Jeremy,"Prototyping, Wireframing",55.21,88,8516,92,False,6,http://walker-perez.com/
